央视,#genre#
山东卫视,http://112.86.202.37:8112/JSBC_iptv/C10000049@JSBC
湖北卫视,http://112.86.202.37:8112/JSBC_iptv/C10000051@JSBC
天津卫视,http://112.86.202.37:8112/JSBC_iptv/C10000052@JSBC
重庆卫视,http://112.86.202.37:8112/JSBC_iptv/C10000053@JSBC
四川卫视,http://112.86.202.37:8112/JSBC_iptv/C10000167@JSBC
江西卫视,http://112.86.202.37:8112/JSBC_iptv/C10000168@JSBC
东南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000169@JSBC
吉林卫视,http://112.86.202.37:8112/JSBC_iptv/C10000170@JSBC
贵州卫视,http://112.86.202.37:8112/JSBC_iptv/C10000171@JSBC
河北卫视,http://112.86.202.37:8112/JSBC_iptv/C10000172@JSBC
辽宁卫视,http://112.86.202.37:8112/JSBC_iptv/C10000141@JSBC
广西卫视,http://112.86.202.37:8112/JSBC_iptv/C10000198@JSBC
海南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000200@JSBC
云南卫视,http://112.86.202.37:8112/JSBC_iptv/C10000202@JSBC

山东教育卫视,http://112.86.202.37:8112/JSBC_iptv/C10000180@JSBC
陕西卫视,http://112.86.202.37:8112/JSBC_iptv/C10000177@JSBC
南方卫视,http://112.86.202.37:8112/JSBC_iptv/C10000178@JSBC
西藏卫视,http://112.86.202.37:8112/JSBC_iptv/C10000184@JSBC
宁夏卫视,http://112.86.202.37:8112/JSBC_iptv/C10000163@JSBC
甘肃卫视,http://112.86.202.37:8112/JSBC_iptv/C10000164@JSBC
新疆卫视,http://112.86.202.37:8112/JSBC_iptv/C10000165@JSBC


江苏,#genre#

江苏卫视,http://112.86.202.37:8112/JSBC_iptv/C10000015@JSBC
江苏城市,http://112.86.202.37:8112/JSBC_iptv/C10000224@JSBC
江苏公共新闻,http://112.86.202.37:8112/JSBC_iptv/C10000229@JSBC
江苏教育,http://112.86.202.37:8112/JSBC_iptv/C10000231@JSBC
江苏体育休闲,http://112.86.202.37:8112/JSBC_iptv/C10000226@JSBC
江苏影视,http://112.86.202.37:8112/JSBC_iptv/C10000227@JSBC
江苏综艺,http://112.86.202.37:8112/JSBC_iptv/C10000225@JSBC


上海,#genre#


数字,#genre#

优漫卡通,http://112.86.202.37:8112/JSBC_iptv/C10000228@JSBC
金鹰纪实,http://112.86.202.37:8112/JSBC_iptv/C10000187@JSBC
茶,http://112.86.202.37:8112/JSBC_iptv/C10000160@JSBC
快乐垂钓,http://112.86.202.37:8112/JSBC_iptv/C10000142@JSBC
精彩推荐,http://112.86.202.37:8112/JSBC_iptv/C10000118@JSBC
先锋乒羽,http://112.86.202.37:8112/JSBC_iptv/C10000159@JSBC

超炫动漫,http://112.86.202.37:8112/JSBC_iptv/C10000074@JSBC
辽宁游戏竞技,http://112.86.202.37:8112/JSBC_iptv/C10000113@JSBC

空中课堂,http://112.86.202.37:8112/JSBC_iptv/C10000101@JSBC
直播间1,http://112.86.202.37:8112/JSBC_iptv/C10000151@JSBC
直播间2,http://112.86.202.37:8112/JSBC_iptv/C10000152@JSBC
搏击俱乐部,http://112.86.202.37:8112/JSBC_iptv/C10000116@JSBC
全纪录,http://112.86.202.37:8112/JSBC_iptv/C10000115@JSBC
游戏达人,http://112.86.202.37:8112/JSBC_iptv/C10000082@JSBC
金庸武侠,http://112.86.202.37:8112/JSBC_iptv/C10000068@JSBC
生活剧场,http://112.86.202.37:8112/JSBC_iptv/C10000069@JSBC
随音听乐,http://112.86.202.37:8112/JSBC_iptv/C10000076@JSBC
娱乐秀场,http://112.86.202.37:8112/JSBC_iptv/C10000075@JSBC
体坛风云,http://112.86.202.37:8112/JSBC_iptv/C10000081@JSBC
举案说法,http://112.86.202.37:8112/JSBC_iptv/C10000077@JSBC
谈股论金,http://112.86.202.37:8112/JSBC_iptv/C10000086@JSBC
时尚女人,http://112.86.202.37:8112/JSBC_iptv/C10000083@JSBC
铁血军事,http://112.86.202.37:8112/JSBC_iptv/C10000073@JSBC
史海钩沉,http://112.86.202.37:8112/JSBC_iptv/C10000079@JSBC
寰宇纪实,http://112.86.202.37:8112/JSBC_iptv/C10000080@JSBC
养生,http://112.86.202.37:8112/JSBC_iptv/C10000084@JSBC
看新闻吧,http://112.86.202.37:8112/JSBC_iptv/C10000072@JSBC
火爆片场,http://112.86.202.37:8112/JSBC_iptv/C10000071@JSBC
华语片场,http://112.86.202.37:8112/JSBC_iptv/C10000070@JSBC


