央视,#genre#
新疆卫视,http://192.168.1.99:5050/

深圳卫视,http://192.168.1.99:5050/udp/239.49.8.15:9430
深圳卫视,http://192.168.1.99:5050/udp/239.49.8.145:6000

三沙卫视,http://192.168.1.99:5050/udp/239.49.0.167:8000

北京卫视,http://192.168.1.99:5050/udp/239.49.1.33:6000
天津卫视,http://192.168.1.99:5050/udp/239.49.1.46:6000
河北卫视,http://192.168.1.99:5050/udp/239.49.0.170:8000
山西卫视,http://192.168.1.99:5050/udp/239.49.1.51:6000
内蒙古卫视,http://192.168.1.99:5050/udp/239.49.0.180:8000
辽宁卫视,http://192.168.1.99:5050/udp/239.49.1.35:6000
吉林卫视,http://192.168.1.99:5050/udp/239.49.1.49:6000
黑龙江卫视,http://192.168.1.99:5050/udp/239.49.1.50:6000
东方卫视,http://192.168.1.99:5050/udp/239.49.1.32:6000
江苏卫视,http://192.168.1.99:5050/udp/239.49.1.16:6000
浙江卫视,http://192.168.1.99:5050/udp/239.49.1.34:6000
安徽卫视,http://192.168.1.99:5050/udp/239.49.1.36:6000
东南卫视,http://192.168.1.99:5050/udp/239.49.1.45:6000
江西卫视,http://192.168.1.99:5050/udp/239.49.1.47:6000
山东卫视,http://192.168.1.99:5050/udp/239.49.1.37:6000
山东教育卫视,http://192.168.1.99:5050/udp/239.49.0.235:8000
河南卫视,http://192.168.1.99:5050/udp/239.49.1.44:6000
湖北卫视,http://192.168.1.99:5050/udp/239.49.1.48:6000
湖南卫视,http://192.168.1.99:5050/udp/239.49.1.38:6000
广东卫视,http://192.168.1.99:5050/udp/239.49.1.39:6000
广西卫视,http://192.168.1.99:5050/udp/239.49.1.40:6000
海南卫视,http://192.168.1.99:5050/udp/239.49.1.41:6000
重庆卫视,http://192.168.1.99:5050/udp/239.49.1.42:6000
四川卫视,http://192.168.1.99:5050/udp/239.49.1.43:6000
贵州卫视,http://192.168.1.99:5050/udp/239.49.1.52:6000
云南卫视,http://192.168.1.99:5050/udp/239.49.0.147:8000
云南卫视,http://192.168.1.99:5050/udp/239.49.1.235:6000
西藏卫视,http://192.168.1.99:5050/udp/239.49.0.245:8000
